Exercise Name,Category,Age Group,Goals,Target Region,Contraindications,Fitness Level,Available Equipment,Sets,Reps,RPE,Rest Intervals,Health Benefit,Steps to Perform,Safety Cue,Validation Status
Cat-Cow Pose,"Mobility, Posture, Yoga",All Ages,"Improve Flexibility & Mobility, Improve Posture and Balance","Core, Full Body","Acute wrist injury, recent abdominal surgery",Level 1 – Assisted / Low Function,Mat,3,10 reps,3-2,30 seconds,Spinal Flexibility & Pain Relief,"1. Start on hands and knees (tabletop), hands under shoulders, knees under hips. 2. Exhale: Round spine toward ceiling (Cat), drawing naval in. 3. Inhale: Arch spine, dropping belly toward floor, lifting head (Cow). 4. Move slowly between the two, matching movement to breath.","Move slowly and gently, especially if low back is tight. Avoid forcing the arch or round.",Yes
Single-Leg Stance,"Balance, Stability",60+,"Improve Posture and Balance, Rehabilitation & Injury prevention","Lower Body, Core","Acute knee/ankle sprain, severe vertigo",Level 2 – Beginner Functional,Bodyweight (Chair/Wall for support),3,10-20 sec / leg,4-3,30 seconds,Fall Prevention & Core Stability,"1. Stand tall next to a stable support. 2. Shift weight to one foot and slowly lift the other foot a few inches off the floor. 3. Hold balance for the prescribed duration, then switch legs.",Keep a support nearby and use it as needed. Focus eyes on a non-moving spot in front of you.,Yes
Goblet Squat,Functional Strength,18-55,"Increase overall strength, Improve Posture and Balance","Lower Body, Core, Full Body","Acute knee/hip pain, recent back surgery",Level 3 – Moderate / Independent,Free Weights (Kettlebell/Dumbbell),3,10-12,7-6,60-90 seconds,Total Body Strength & Power,"1. Hold weight vertically at chest height, feet slightly wider than shoulder-width. 2. Push hips back and descend into a deep squat, keeping chest lifted and core braced. 3. Drive through heels to stand, squeezing glutes at the top.",Keep heels flat and ensure your chest stays lifted throughout the movement; don't let the back round.,Yes
Incline Push-Up,"Stability, Functional Strength",18-55,"Increase overall strength, Improve Posture and Balance","Upper Body, Core","Acute shoulder pain, wrist injury",Level 3 – Moderate / Independent, Bench/slab/Wall,3,8-10/AMRAP,5-4,60 seconds,Increase upper body strength & stability,"1. Place hands on an elevated surface (bench/wall), slightly wider than shoulders. 2. Keep body in a straight line (plank position). 3. Lower chest toward the surface by bending elbows. 4. Push back up to the starting position.",Maintain a straight line from head to heels. Avoid letting the hips sag or rise.,Yes
High Knees (Low-Impact),Low-Impact Cardio,All Ages,Improve cardiovascular fitness,Full Body,"Acute knee/ankle injury, unmanaged high blood pressure",Level 3 – Moderate / Independent,Bodyweight,2,30-45 seconds,6-5,15 seconds,Cardiovascular Endurance,"1. Stand tall, core engaged. 2. Alternately lift your knees toward your chest at a brisk, controlled pace. 3. Use a strong, rhythmic arm pump for momentum.","Land softly on the balls of your feet, then quickly drop the heel. Control the movement; no jumping.",Yes
Bird-Dog,"Core (Spine-Friendly), Stability, Posture",All Ages,"Rehabilitation & Injury prevention, Improve Posture and Balance","Core, Upper Body, Lower Body","Acute back flare-up, wrist sensitivity (use fists)",Level 2 – Beginner Functional,Mat,3,10-12 / side,4-3,45 seconds,Core & Lower Back Protection,"1. Start on hands and knees (tabletop). 2. Brace core, then slowly extend one arm forward and the opposite leg straight back. 3. Maintain a level pelvis (don't let hips rotate). 4. Slowly return and alternate sides.","Focus on keeping the core stable and back flat, like balancing a cup of tea on your lower back.",Yes
Seated Resistance Band Row,"Functional Strength, Posture",18-60,"Improve Posture and Balance, Increase overall strength","Upper Body, Core","Acute shoulder instability, inflamed elbow joint",Level 3 – Moderate / Independent,"Resistance Band, Mat",3,12-15,6-5,60 seconds,Upper Back Strength & Posture Correction,"1. Sit with legs extended, loop band around feet, holding ends with hands. 2. Sit tall, keep back straight, and pull elbows straight back, squeezing shoulder blades together. 3. Slowly return hands forward, maintaining tension in the band.",Avoid shrugging shoulders up toward ears. Keep your chest open and tall.,Yes
Yoga: Mountain Pose (Tadasana),"Posture, Yoga, Stability",All Ages,"Improve Posture and Balance, Reduce Stress",Full Body,Severe dizziness/vertigo,Level 2 – Beginner Functional,Bodyweight,3,Hold 60 sec,2-1,15 seconds,Mind-Body Connection & Postural Alignment,"1. Stand tall with feet grounded, spine long, and shoulders relaxed down. 2.Engage thighs gently, keep knees soft, and balance weight evenly., 3. Let arms rest by your sides, palms forward, and breathe steadily. ",Gently sway side to side to find your center of gravity. Avoid locking the knees completely.,Yes
Standing Quad Stretch (Hold),Flexibility,All Ages,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention",Lower Body,"Acute knee injury, recent hip replacement",Level 2 – Beginner Functional,Bodyweight (Chair/Wall for support),2,Hold 20-30 sec / leg,3-2,15 seconds,Relieve Knee Stress & Hip Tightness,"1. Stand next to a support, grab one ankle or foot with the same hand. 2. Gently pull the heel toward the buttock, keeping the knees close together. 3. Stand tall, engaging the glutes to deepen the stretch in the front of the thigh.",Do not yank or bounce the leg. Stop if you feel sharp knee pain.,Yes
Dead Bug,"Core (Spine-Friendly), Stability",All Ages,"Rehabilitation & Injury prevention, Improve Posture and Balance",Core,"Acute back pain, neck strain (support head with hands)",Level 2 – Beginner Functional,Mat,3,10-12 / side,5-4,30 seconds,Abdominal Control & Low Back Protection,"1. Lie on your back, knees bent 90 degrees over hips, arms straight up. 2. Brace core, slowly extend opposite arm and leg toward the floor without arching back. 3. Exhale and return to the start. Inhale and switch sides.",Ensure your lower back remains pressed into the mat throughout the entire movement.,Yes
Side Lying Clam Shells,"Stability, Functional Strength",60+,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body,"Acute hip bursitis, recent hip surgery",Level 1 – Assisted / Low Function,"Mat, Resistance Band (Optional)",3,15-20 / side,4-3,45 seconds,Hip Joint Stability & Glute Activation,"1. Lie on your side, knees bent, feet together, and head supported. 2. Keeping feet touching, squeeze glutes to lift the top knee toward the ceiling. 3. Slowly lower the knee back down with control.",Keep hips stacked and avoid rolling the top hip backward as you lift the knee.,
Jumping Jacks (Modified Step),Low-Impact Cardio,40+,Improve cardiovascular fitness,Full Body,"Severe joint arthritis, stress fractures",Level 1 – Assisted / Low Function,Bodyweight,1,60 seconds,6-4,15 seconds,Joint-Friendly Calorie Expenditure,"1. Stand tall, feet together, arms at sides. 2. Step right foot out to the side while simultaneously raising arms overhead. 3. Return right foot and arms to start. Repeat on the left side, alternating quickly.",Maintain an upright posture and control the pace. Keep the movement gentle on the joints.,
Dumbbell Bench Press,Functional Strength,18-55,Increase overall strength,Upper Body,"Shoulder impingement, rotator cuff tear",Level 4 – Active Wellness,"Free Weights (Dumbbells), Bench",3,8-10,8-7,120 seconds,Chest and Tricep Muscle Development,"1. Lie on a bench, holding dumbbells above your chest, palms forward. 2. Inhale and slowly lower the weights to the sides of your chest. 3. Exhale and powerfully push the weights back up, squeezing the chest.",Keep your shoulders pressed down into the bench and away from your ears. Control the descent.,
Standing Overhead Reach,"Mobility, Posture",All Ages,"Improve Flexibility & Mobility, Improve Posture and Balance","Upper Body, Core","Acute shoulder injury, nerve pain radiating into the arm",Level 1 – Assisted / Low Function,Bodyweight,2,10 / side,3-2,30 seconds,Thoracic Spine Mobility,"1. Stand with feet shoulder-width apart. Inhale and reach one arm straight overhead. 2. Gently lean to the opposite side, keeping hips stationary. 3. Feel the stretch along the side of the body. Return and switch sides.",Keep the neck relaxed and avoid hunching the shoulders during the side bend.,
Wall Sit,"Stability, Functional Strength",18-55,"Increase overall strength, Improve cardiovascular fitness",Lower Body,"Recent knee replacement, patellar tendonitis",Level 3 – Moderate / Independent,"Bodyweight, Wall",3,Hold 45-60 sec,8-6,60 seconds,Quadricep Endurance & Knee Support,"1. Lean back against a wall, then walk feet out and slide down until knees are at a 90-degree angle. 2. Press lower back flat against the wall and brace the core. 3. Hold the position for time.",Ensure knees are directly over ankles (forming a right angle). Do not let your knees move past your toes.,
Psoas Stretch (Lunge Position),"Flexibility, Rehabilitation",All Ages,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention","Lower Body, Core","Acute knee pain, unhealed groin strain",Level 2 – Beginner Functional,Mat,2,Hold 30 sec / side,3-2,15 seconds,Relieve Hip Flexor Tightness & Low Back Stress,1. Kneel in a lunge position with the back knee on the mat. 2. Gently tuck the tailbone under (posterior tilt) and shift hips slightly forward. 3. Lift the chest and hold the stretch in the front of the back hip.,Keep the front knee aligned over the ankle. Avoid leaning too far forward and stressing the knee.,
Diaphragmatic Breath in Supine,Breathing & Diaphragmatic Work,All Ages,"Reduce Stress, Improve Oxygen Efficiency","Core, Full Body","Severe GERD (Acid Reflux), unmanaged anxiety",Level 1 – Assisted / Low Function,Mat,5,10 breaths,2-1,N/A,Nervous System Regulation,"1. Lie on your back, knees bent, one hand on chest, one on belly. 2. Inhale deeply through the nose, focusing on the belly hand rising (not the chest hand). 3. Exhale slowly and completely through pursed lips.","Focus on a slow, deliberate exhale to fully engage the diaphragm and promote relaxation.",
Banded Lateral Walk,"Stability, Functional Strength",40+,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body,"Acute knee/hip pain, severe balance issues",Level 2 – Beginner Functional,Resistance Band (Loop),3,10-15 steps / side,5-4,60 seconds,Glute Medius Activation & Hip Strength,"1. Place a resistance band around your ankles or just above your knees. 2. Stand in a slight athletic crouch (knees slightly bent). 3. Step sideways, maintaining tension on the band with slow, controlled steps. Repeat in the other direction.",Keep your toes pointing straight forward and avoid letting your knees cave inward.,
Stability Ball Rollout,"Core (Spine-Friendly), Functional Strength",18-55,"Increase overall strength, Improve Posture and Balance","Core, Upper Body","Acute shoulder or low back pain, unhealed abdominal separation",Level 4 – Active Wellness,Balls (Stability Ball),3,8-10,8-7,90 seconds,Advanced Core Strength & Anti-Extension,"1. Kneel behind the ball, forearms on the ball. 2. Slowly roll the ball forward, extending arms and torso without letting the lower back arch. 3. Brace the core and pull the ball back to the start using your abdominals.",Stop the motion immediately if you feel any strain or discomfort in your lower back. Maintain a neutral spine.,
Downward-Facing Dog (Adho Mukha Svanasana),"Yoga, Flexibility, Mobility",18-60,"Improve Flexibility & Mobility, Increase overall strength",Full Body,"Unmanaged high blood pressure, late-stage pregnancy, acute wrist injury",Level 3 – Moderate / Independent,Mat,2,Hold 60 sec,5-4,30 seconds,Full Body Stretch & Shoulder Stability,"1. Start on hands and knees. Tuck toes and lift hips up and back, forming an inverted 'V'. 2. Press palms down, driving hips toward the back wall. 3. Gently pedal the feet (bending one knee, then the other) to stretch the calves and hamstrings.",Keep a slight bend in the knees if hamstrings are very tight to prioritize lengthening the spine.,
Standing March (Knee to Hand),"Mobility, Low-Impact Cardio",All Ages,"Improve Flexibility & Mobility, Improve cardiovascular fitness",Full Body,"Acute hip/knee pain, severe unmanaged balance issues",Level 2 – Beginner Functional,Bodyweight,1,60 seconds,5-4,15 seconds,Dynamic Warm-up & Hip Mobility,"1. Stand tall, core engaged. Alternately lift your knee toward the opposite hand. 2. Touch the knee to the hand (or as close as comfortable) to engage the core. 3. Maintain a consistent, marching rhythm.",Control the descent of the foot back to the floor. Focus on posture and avoid leaning side-to-side.,
Foam Roll: Thoracic Spine,"Mobility, Posture",18-60,"Improve Flexibility & Mobility, Improve Posture and Balance","Upper Body, Core","Rib fracture, severe osteoporosis, acute back pain",Level 3 – Moderate / Independent,"Mat, Foam Roller",2,60 seconds total,4-3,30 seconds,Upper Back Mobility & Desk Posture,"1. Lie on the mat, roller placed horizontally under your upper back (avoiding the neck/low back). 2. Support head with hands. Roll slowly up and down from the base of the neck to the mid-back. 3. Pause on tight spots and take a deep breath.",Keep glutes slightly lifted off the floor to prevent excessive pressure on the lumbar spine (low back).,
Bulgarian Split Squat,Functional Strength,18-55,"Increase overall strength, Improve Posture and Balance","Lower Body, Core","Acute knee pain, ankle instability, recent hip surgery",Level 4 – Active Wellness,"Free Weights (Dumbbells), Bench/Box",3,8-10 / leg,8-7,90 seconds,Single-Leg Strength & Glute Development,"1. Place one foot on a bench behind you, holding dumbbells at sides. 2. Lower hips straight down, ensuring the front knee tracks over the mid-foot. 3. Drive through the front heel to return to the starting position.",Ensure the front knee stays aligned over the ankle. Use a mirror or wall to check your form.,
Standing V-Sit (Yoga),"Balance, Yoga",18-60,"Improve Posture and Balance, Increase overall strength","Core, Full Body","Unstable blood pressure, recent stroke, severe hip weakness",Level 5 – Adaptive Advanced,Bodyweight,3,Hold 15-20 sec,7-6,45 seconds,Deep Core Engagement & Hip Flexor Endurance,"1. Sit on mat, feet flat, hands behind thighs. 2. Lean back slightly, lift feet, balancing on tailbone. 3. For advanced: release hands and fully extend legs into a ""V"" shape.",Protect your low back by maintaining a straight (not rounded) spine. Stop if you feel strain in the back.,
Glute Bridge with March,"Stability, Core (Spine-Friendly)",40-60,"Rehabilitation & Injury prevention, Improve Posture and Balance","Lower Body, Core","Acute SI joint pain, unhealed pelvic injury",Level 2 – Beginner Functional,Mat,3,12-16 marches total,5-4,60 seconds,Pelvic & Core Stability,"1. Lie on back, perform a standard Glute Bridge (hips up). 2. Keeping hips level, slowly lift one foot a few inches off the floor. 3. Lower the foot and repeat with the other leg, marching slowly.",Keep hips level and avoid letting them drop or shift side-to-side as you march.,
Child's Pose (Balasana),"Flexibility, Yoga, Breathing",All Ages,"Reduce Stress, Improve Flexibility & Mobility",Full Body,"Late-stage pregnancy, acute knee injury/pain (use padding)",Level 1 – Assisted / Low Function,Mat,2,Hold 90 seconds,2-1,N/A,Deep Relaxation & Hip/Back Release,"1. Kneel on the mat, sitting hips back toward heels. 2. Fold forward, resting torso between (or outside) thighs. 3. Extend arms out, rest forehead on the mat, and breathe deeply into the back.",Use a pillow or block under your forehead if it doesn't reach the mat comfortably.,
